source_row_index,filtered_row_index,op_id,_oil_norm,Bezeichnung,Drehzahl,Ölbezeichnung,Kältemittel,T1_SH,T_evap,T_cond,N,P1_mean,P2_mean,T1_mean,T2_mean,T7_mean,Tamb_mean,Pel_mean,suction_mf_mean
41,40,N70_SH10_Te20_Tc40,LPG68,T2s40_10SH,70.0,LPG68,Propan,10.0,20.0,40.0,4209.79,8.17964,13.6985,30.2259,57.2094,51.9326,27.254,1351.51,34.0073
105,102,N70_SH10_Te25_Tc40,LPG100,T2s40_10SH,70.0,LPG100,Propan,10.0,25.0,40.0,4209.79,9.48318,13.6934,34.1211,54.7628,51.0395,25.2272,1242.98,39.938
42,41,N70_SH10_Te25_Tc40,LPG68,T2s40_10SH,70.0,LPG68,Propan,10.0,25.0,40.0,4209.79,9.44436,13.7246,35.313,55.093,50.7267,27.625,1188.29,39.6292
106,103,N70_SH10_Te0_Tc50,LPG100,T2s50_10SH,70.0,LPG100,Propan,10.0,0.0,50.0,4209.79,4.79329,17.2014,11.0861,75.6781,68.7307,25.8427,1935.73,19.4779
43,42,N70_SH10_Te0_Tc50,LPG68,T2S50_10SH,70.0,LPG68,Propan,10.0,0.0,50.0,4209.79,4.71181,17.2042,10.3432,75.7456,69.4445,27.1949,1925.7,18.9296
107,104,N70_SH10_Te5_Tc50,LPG100,T2s50_10SH,70.0,LPG100,Propan,10.0,5.0,50.0,4209.79,5.49938,17.2081,14.3318,72.1062,66.0696,26.4637,1949.98,22.4212
44,43,N70_SH10_Te5_Tc50,LPG68,T2S50_10SH,70.0,LPG68,Propan,10.0,5.0,50.0,4209.79,5.47031,17.2049,14.6144,71.2268,64.2419,29.2473,1861.02,22.2631
108,105,N70_SH10_Te10_Tc50,LPG100,T2s50_10SH,70.0,LPG100,Propan,10.0,10.0,50.0,4209.79,6.34528,17.2207,18.9781,69.557,64.1066,26.625,1937.85,25.9778
45,44,N70_SH10_Te10_Tc50,LPG68,T2S50_10SH,70.0,LPG68,Propan,10.0,10.0,50.0,4209.79,6.25191,17.1869,20.5991,70.7933,64.2153,29.379,1862.67,25.3072
109,106,N70_SH10_Te15_Tc50,LPG100,T2s50_10SH,70.0,LPG100,Propan,10.0,15.0,50.0,4209.79,7.29138,17.1854,26.0184,69.6,64.1697,26.8602,1907.33,29.7082
46,45,N70_SH10_Te15_Tc50,LPG68,T2S50_10SH,70.0,LPG68,Propan,10.0,15.0,50.0,4209.79,7.36136,17.164,25.8901,68.2962,63.1222,26.1103,1881.16,30.1301
110,107,N70_SH10_Te20_Tc50,LPG100,T2s50_10SH,70.0,LPG100,Propan,10.0,20.0,50.0,4209.79,8.22477,17.1427,31.2968,68.2309,62.8725,26.8145,1848.05,33.6656
47,46,N70_SH10_Te20_Tc50,LPG68,T2S50_10SH,70.0,LPG68,Propan,10.0,20.0,50.0,4209.79,8.4339,17.119,29.4143,66.0214,61.0487,22.9798,1812.17,35.0366
111,108,N70_SH10_Te25_Tc50,LPG100,T2s50_10SH,70.0,LPG100,Propan,10.0,25.0,50.0,4209.79,9.50841,17.1653,35.0058,65.7035,60.7505,24.6613,1734.94,39.5237
48,47,N70_SH10_Te25_Tc50,LPG68,T2S50_10SH,70.0,LPG68,Propan,10.0,25.0,50.0,4209.79,9.44774,17.1805,34.0065,65.3761,61.1373,24.4288,1723.97,39.4457
118,115,N70_SH20_Te0_Tc50,LPG100,T2s50_20SH,70.0,LPG100,Propan,20.0,0.0,50.0,4209.79,4.72049,17.184,18.9125,83.4774,75.9101,29.4395,1933.32,18.183
55,54,N70_SH20_Te0_Tc50,LPG68,T2s50_20SH,70.0,LPG68,Propan,20.0,0.0,50.0,4209.79,4.77341,17.1432,20.5634,83.7326,75.8915,28.1684,1924.26,18.5894
