Einheiten;1/s;LPG68/LPG100;Propan/R290;in K;in ℃;in ℃;in bar;in bar;in ℃;in bar;in bar;in ℃;in ℃;in ℃;in ℃;in W;in g/s;in 1/min
Bezeichnung;Drehzahl;Ölbezeichnung;Kältemittel;T1_SH;T_evap;T_cond;p1_SP;p2_SP_mean;T1_SP_mean;P1_mean;P2_mean;T1_mean;T2_mean;T7_mean;Tamb_mean;Pel_mean;suction_mf_mean;N
T2s30_10SH;70;LPG100;Propan;10;5;30;5,52;10,7847;15,0347;5,48869;10,7933;15,5683;53,5398;48,9761;22,2273;1343,64;22,5226;4209,79
T2s30_10SH;70;LPG100;Propan;10;10;30;6,36375;10,7847;20,0695;6,33379;10,8049;19,2686;49,5754;45,8029;22,1193;1251,86;26,3224;4209,79
T2s40_10SH;70;LPG100;Propan;10;0;40;4,722;13,7222;10,0347;4,72594;13,6967;10,0994;64,2895;58,379;24,4212;1658,49;19,4329;4209,79
T2s40_10SH;70;LPG100;Propan;10;5;40;5,50325;13,7222;15,0347;5,50356;13,7091;14,3002;61,6252;56,314;24,8952;1637,5;22,6959;4209,79
T2s40_10SH;70;LPG100;Propan;10;10;40;6,347;13,7222;20,0695;6,34686;13,7236;20,1023;60,3546;55,3792;24,9701;1590,61;26,1285;4209,79
T2s40_10SH;70;LPG100;Propan;10;15;40;7,31575;13,7222;25,0695;7,28573;13,7451;25,5327;58,7348;53,9986;25,2137;1516,06;30,0398;4209,79
T2s40_10SH;70;LPG100;Propan;10;20;40;8,319;13,7222;30,0695;8,20548;13,7166;30,9079;58,2189;53,6644;25,3858;1415,74;33,8767;4209,79
T2s40_10SH;70;LPG100;Propan;10;25;40;9,5065;13,7222;35,139;9,48318;13,6934;34,1211;54,7628;51,0395;25,2272;1242,98;39,938;4209,79
T2s50_10SH;70;LPG100;Propan;10;0;50;4,72075;17,1945;10,0347;4,79329;17,2014;11,0861;75,6781;68,7307;25,8427;1935,73;19,4779;4209,79
T2s50_10SH;70;LPG100;Propan;10;5;50;5,502;17,1945;15,0347;5,49938;17,2081;14,3318;72,1062;66,0696;26,4637;1949,98;22,4212;4209,79
T2s50_10SH;70;LPG100;Propan;10;10;50;6,34575;17,1945;20,0695;6,34528;17,2207;18,9781;69,557;64,1066;26,625;1937,85;25,9778;4209,79
T2s50_10SH;70;LPG100;Propan;10;15;50;7,3145;17,1945;25,0695;7,29138;17,1854;26,0184;69,6;64,1697;26,8602;1907,33;29,7082;4209,79
T2s50_10SH;70;LPG100;Propan;10;20;50;8,3165;17,1945;30,0695;8,22477;17,1427;31,2968;68,2309;62,8725;26,8145;1848,05;33,6656;4209,79
T2s50_10SH;70;LPG100;Propan;10;25;50;9,504;17,1945;35,139;9,50841;17,1653;35,0058;65,7035;60,7505;24,6613;1734,94;39,5237;4209,79
T2s60_10SH;70;LPG100;Propan;10;0;60;4,7295;21,1945;10,0347;4,72874;21,2193;9,23665;85,6782;78,8268;30,4745;2217,68;18,5593;4209,79
T2s60_10SH;70;LPG100;Propan;10;5;60;5,51075;21,1945;15,0347;5,50978;21,2347;15,9822;85,5586;78,9394;30,6976;2276,2;21,5734;4209,79
T2s60_10SH;70;LPG100;Propan;10;10;60;6,3545;21,1945;20,0695;6,3544;21,2368;20,3197;81,714;75,7379;30,7339;2294,82;25,2589;4209,79
T2s60_10SH;70;LPG100;Propan;10;15;60;7,32325;21,1945;25,0695;7,32349;21,2399;25,0784;79,4152;73,958;30,6035;2297,91;29,3589;4209,79
T2s60_10SH;70;LPG100;Propan;10;20;60;8,334;21,1945;30,0695;8,33446;21,1421;30,3384;77,7619;72,7271;30,5995;2279,12;34,1422;4209,79
T2s60_10SH;70;LPG100;Propan;10;25;60;9,5215;21,1945;35,139;9,5218;21,1697;34,9109;75,8213;70,7639;30,3185;2223,88;39,7423;4209,79
T2s50_20SH;70;LPG100;Propan;20;0;50;4,72075;17,1945;20,0695;4,72049;17,184;18,9125;83,4774;75,9101;29,4395;1933,32;18,183;4209,79
T2s50_20SH;70;LPG100;Propan;20;10;50;6,34575;17,1945;30,0695;6,32925;17,2103;31,0286;81,0599;74,1486;29,496;1950,69;24,5057;4209,79
T2s60_20SH;70;LPG100;Propan;20;0;60;4,7295;21,1945;20,0695;4,72826;21,2284;20,4775;93,8349;85,4478;28,1277;2210,69;17,9397;4209,79
T2s60_20SH;70;LPG100;Propan;20;10;60;6,3545;21,1945;30,0695;6,35466;21,1335;29,9973;89,9244;82,4585;28,3978;2294,14;24,4248;4209,79
T2s50_30SH;70;LPG100;Propan;30;0;50;4,72075;17,1945;30,0695;4,74389;17,0666;30,3932;92,5948;84,2081;29,664;1937,03;17,6488;4209,79
T2s60_30SH;70;LPG100;Propan;30;0;60;4,7295;21,1945;30,0695;4,69777;21,2254;30,17;102,486;92,8901;31,961;2204,25;17,171;4209,79
T2s60_30SH;70;LPG100;Propan;30;10;60;6,3545;21,1945;40,139;6,38645;21,2014;39,6969;98,7476;90,6217;32,1519;2298,36;23,57;4209,79
