LPG100/LPG68;R290 (Propan);in Pa;in ℃;in Pa;in ℃;in ℃;in ℃;in kg/s;in W;in 1/min;in mPas
Ölbezeichnung;Kältemittel;P1_mean;T1_mean;P2_mean;Tamb_mean;T2_mean;T7_mean;suction_mf_mean;Pel_mean;N;dyn_viscosity_mean
LPG68;R290;8,34649;40,0268;17,1632;28,9543;74,9246;68,7317;28,0766;1540,55;3608,9;5,92322
;;;;;;;;;;;
LPG68;R290;4,70768;19,0416;21,151;30,711;92,403;84,7057;15,2689;1874,54;3608,9;4,21258
LPG68;R290;6,37173;31,8268;21,2133;30,9247;90,3913;83,1867;20,6885;1944,94;3608,9;4,20095
LPG68;R290;8,46994;40,5418;21,1586;30,7809;86,2709;79,9317;28,0356;1925,53;3608,9;3,99012
;;;;;;;;;;;
LPG68;R290;4,76698;29,7937;17,2159;29,7151;89,7342;81,8013;15,0627;1621,6;3608,9;6,15628
LPG68;R290;6,37078;39,4937;17,1567;29,5806;85,6438;77,7772;20,3035;1628,71;3608,9;6,23624
LPG68;R290;8,44081;50,6324;17,1766;29,8132;83,7169;75,9175;27,0184;1540,22;3608,9;6,23338
;;;;;;;;;;;
LPG68;R290;4,72849;30,1594;21,2327;32,1022;100,675;91,7678;14,6311;1870,67;3608,9;4,28451
LPG68;R290;6,46011;39,4013;21,1451;31,6505;95,8945;87,3214;20,4809;1943,91;3608,9;4,25707
LPG68;R290;8,43544;50,6304;21,1507;31,757;93,6914;85,5294;26,7902;1918,37;3608,9;4,22717
;;;;;;;;;;;
LPG68;R290;4,76662;9,62169;10,7354;23,5323;53,0269;47,8138;19,7802;1342;4209,79;16,2135
LPG68;R290;5,50719;14,6792;10,7134;22,7997;50,5768;46,1251;22,8425;1292,38;4209,79;15,9862
LPG68;R290;6,34355;20,6687;10,822;22,2392;49,4211;45,2379;26,344;1215,82;4209,79;15,3144
;;;;;;;;;;;
LPG68;R290;4,76048;10,274;13,6925;25,7487;62,8672;56,0321;19,486;1581,37;4209,79;9,31004
LPG68;R290;5,4715;15,1424;13,7062;26,3777;61,3275;55,0442;22,4913;1564,67;4209,79;9,08431
LPG68;R290;6,3016;20,3583;13,7316;26,75;59,882;54,0018;25,9291;1524,29;4209,79;8,84627
LPG68;R290;7,28787;24,9045;13,7411;27;57,0672;51,5189;30,2973;1443,75;4209,79;8,07354
LPG68;R290;8,17964;30,2259;13,6985;27,254;57,2094;51,9326;34,0073;1351,51;4209,79;8,06611
LPG68;R290;9,44436;35,313;13,7246;27,625;55,093;50,7267;39,6292;1188,29;4209,79;7,58792
;;;;;;;;;;;
LPG68;R290;4,71181;10,3432;17,2042;27,1949;75,7456;69,4445;18,9296;1925,7;4209,79;6,10421
LPG68;R290;5,47031;14,6144;17,2049;29,2473;71,2268;64,2419;22,2631;1861,02;4209,79;5,43343
LPG68;R290;6,25191;20,5991;17,1869;29,379;70,7933;64,2153;25,3072;1862,67;4209,79;5,42843
LPG68;R290;7,36136;25,8901;17,164;26,1103;68,2962;63,1222;30,1301;1881,16;4209,79;5,1321
LPG68;R290;8,4339;29,4143;17,119;22,9798;66,0214;61,0487;35,0366;1812,17;4209,79;4,51855
LPG68;R290;9,44774;34,0065;17,1805;24,4288;65,3761;61,1373;39,4457;1723,97;4209,79;4,5439
;;;;;;;;;;;
LPG68;R290;4,78747;9,86615;21,2104;29,4664;85,3274;78,2566;19,0563;2198,36;4209,79;3,91558
LPG68;R290;5,47007;15,5808;21,1518;28,4624;83,7533;77,7593;21,6663;2248,91;4209,79;3,82961
LPG68;R290;6,35795;19,8285;21,1432;28,7742;80,2384;75,0486;25,5487;2280,95;4209,79;3,51838
LPG68;R290;7,30263;25,3639;21,163;28,9355;79,1923;74,2015;29,7139;2279,2;4209,79;3,4041
LPG68;R290;8,33105;29,4061;21,1775;28,7621;76,748;71,4463;34,5705;2261,69;4209,79;2,95507
LPG68;R290;9,47804;34,7635;21,2001;28,9429;76,1819;71,1697;39,6077;2215,36;4209,79;2,90311
;;;;;;;;;;;
LPG68;R290;4,77341;20,5634;17,1432;28,1684;83,7326;75,8915;18,5894;1924,26;4209,79;6,23335
LPG68;R290;6,44475;31,3771;17,1738;26,7957;79,884;72,7577;25,0873;1931,56;4209,79;6,18053
;;;;;;;;;;;
LPG68;R290;4,79792;20,5102;21,154;31,0927;93,7563;86,2692;18,1915;2198,62;4209,79;4,24789
LPG68;R290;6,39812;29,7276;21,3161;30,6371;88,2061;81,408;24,7191;2290,41;4209,79;4,03046
;;;;;;;;;;;
LPG68;R290;4,78442;30,4968;17,1456;29,2812;91,82;83,3041;17,663;1922,26;4209,79;6,04316
;;;;;;;;;;;
LPG68;R290;4,76399;30,8311;21,1798;32,5027;102,029;93,6437;17,3423;2192,79;4209,79;4,23402
LPG68;R290;6,35542;39,6685;21,1752;32,1008;97,2241;89,6504;23,5618;2279,89;4209,79;4,27591
